Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821937	SRR7821938	SRR7821939	SRR7821949	SRR7821950	SRR7821951	SRR7821952	SRR7821953	SRR7821968	SRR7821969	SRR7821970
ENSMUSG00000044084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041165	1	2	4	1	7	2	2	2	4	0	2	0	0	4	0	0
ENSMUSG00000020677	1232	1391	1194	1524	1522	1314	876	1739	795	752	1125	785	714	572	162	391
ENSMUSG00000061086	845	429	263	425	533	4372	5011	5636	47	34	53	38	32	579	11	302
ENSMUSG00000086222	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000086932	0	0	0	1	1	4	6	1	0	0	0	0	0	0	0	0
ENSMUSG00000081588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082706	15	9	11	6	14	13	19	14	0	0	4	4	1	1	2	5
ENSMUSG00000051790	762	790	671	974	1087	1818	2504	1681	48	42	64	33	47	73	45	46
ENSMUSG00000070394	994	873	697	856	820	1148	1412	1173	363	335	526	375	286	3199	3701	4601
ENSMUSG00000020689	1780	1953	2399	2320	2238	2198	2300	3325	17270	9226	11975	5877	19368	5039	5121	2765
ENSMUSG00000083748	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000020400	3094	3740	2816	3977	3329	1579	1982	1713	3991	3880	4901	3717	3195	850	492	687
ENSMUSG00000082180	0	0	3	3	0	1	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000019461	2073	2236	1747	2375	2472	2950	4665	2720	907	841	1076	896	610	273	208	235
ENSMUSG00000040838	0	3	0	2	5	0	0	0	3	0	0	0	0	0	4	0
ENSMUSG00000081513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020691	416	403	338	448	397	572	536	671	323	204	367	222	209	264	87	136
ENSMUSG00002076775	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000081965	1	3	2	2	4	3	11	4	2	0	0	0	1	0	0	0
ENSMUSG00000034940	2251	2256	2083	2561	2217	3230	3294	3336	1311	896	1368	1052	749	783	354	546
ENSMUSG00000099681	105	128	80	115	134	171	164	233	82	61	85	52	39	69	25	46
ENSMUSG00000001583	334	391	376	405	468	520	707	504	0	0	0	0	0	29	59	47
ENSMUSG00000094845	28	13	25	41	38	57	52	43	19	3	15	15	11	10	18	11
ENSMUSG00000046731	870	901	698	958	850	1306	1344	1137	249	175	282	172	161	102	42	45
ENSMUSG00000018648	549	539	400	535	558	1287	1588	1179	197	124	117	111	133	45	45	19
ENSMUSG00000001588	1169	1523	1210	1811	1243	1268	1356	1609	2962	1944	3173	2013	1935	2563	1257	1703
ENSMUSG00000104996	5	3	4	7	6	6	0	4	12	16	17	9	8	30	5	18
ENSMUSG00000018340	8935	9348	7342	10836	7353	11021	13686	12073	9332	7531	9503	7643	5627	2951	1624	2283
ENSMUSG00000018651	246	269	236	322	263	559	513	624	207	137	179	164	139	84	46	70
ENSMUSG00000049588	221	238	201	270	198	287	301	326	355	262	372	279	241	409	160	307
ENSMUSG00000000594	3342	3482	2949	3659	2729	3709	3993	4445	6700	5788	8144	6377	4890	4024	2156	3014
ENSMUSG00000044751	194	181	144	201	181	168	105	215	232	153	241	209	125	89	57	82
ENSMUSG00000080738	1	0	0	0	0	2	0	2	4	1	0	0	0	0	1	0
ENSMUSG00000018570	16	19	12	9	24	78	86	76	6	14	20	11	14	24	15	12
ENSMUSG00000049491	2	0	2	8	4	3	0	5	15	7	10	14	3	4	5	9
ENSMUSG00000085531	17	24	20	20	20	10	16	18	16	9	17	18	10	7	2	8
ENSMUSG00000082286	368	381	395	435	387	716	812	837	198	127	212	152	102	525	217	327
ENSMUSG00000020264	394	396	320	477	313	2269	2677	2405	0	1	0	0	3	124	13	31
ENSMUSG00000084980	1	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0
ENSMUSG00000020261	1364	1577	1395	1838	1545	1452	1477	1458	2452	1764	3268	2486	1654	514	237	346
ENSMUSG00000055333	23	28	19	26	14	567	337	437	0	0	0	0	0	0	6	6
ENSMUSG00000020532	2209	2152	2046	2573	2462	6195	5878	7960	526	381	540	474	289	818	343	541
ENSMUSG00000051452	19	4	1	0	1	23	3	2	0	0	0	1	0	0	0	0
ENSMUSG00000103122	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000018697	568	546	519	617	570	587	607	648	584	517	591	487	464	255	135	189
ENSMUSG00000018698	7	7	17	8	6	1	0	2	34	4	44	12	10	0	1	0
ENSMUSG00000087211	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0
ENSMUSG00000085044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087407	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000018593	13717	13896	12917	16398	16765	48337	61108	59685	31	13	52	8	28	1043	1226	761
ENSMUSG00000018405	193	198	168	205	187	339	399	373	167	121	193	135	103	194	182	130
ENSMUSG00000018585	1546	1576	1254	1751	1539	1641	2461	1604	1540	1265	1820	1261	1685	747	530	536
ENSMUSG00000081107	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000034449	266	262	210	306	286	552	541	493	338	347	486	277	305	10941	12835	11908
ENSMUSG00000086799	0	0	0	0	0	0	2	2	0	0	0	0	0	0	5	5
ENSMUSG00000018583	4419	4508	3564	4897	3816	4529	4729	5046	3930	3123	4052	3291	2355	1663	850	1462
ENSMUSG00000065061	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020694	1619	1670	1418	1803	1920	1799	1247	2067	1194	931	1435	1131	905	732	293	595
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086460	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000083363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084169	4	3	3	2	7	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065635	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020695	509	450	351	494	441	5358	8161	5168	2	3	11	2	1	82	87	66
ENSMUSG00000047284	1486	1605	1391	1748	1567	2580	3502	2528	906	688	1114	769	591	825	374	485
ENSMUSG00000078627	8	9	14	13	8	13	13	15	12	6	1	1	6	2	0	3
ENSMUSG00000086487	2	1	3	0	0	4	3	12	0	1	0	3	0	0	1	0
ENSMUSG00000086089	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000023170	1022	1122	977	1240	1317	1504	1592	1561	1639	1268	1863	1405	1203	1213	835	926
ENSMUSG00000023764	1207	1263	1164	1291	1283	1089	1683	1342	472	403	576	373	303	495	210	319
ENSMUSG00000087111	0	8	2	4	5	8	9	4	8	12	17	10	4	5	1	8
ENSMUSG00000081208	47	69	74	103	98	42	72	59	21	21	29	24	16	6	1	1
ENSMUSG00000020524	327	306	316	292	453	956	1006	758	0	0	0	0	0	11	3	0
ENSMUSG00000082476	0	1	2	0	0	1	0	0	0	1	0	0	0	1	0	0
ENSMUSG00000020457	1778	1623	1343	1800	1565	1893	1753	2134	979	793	1087	807	629	456	190	360
ENSMUSG00000053580	1212	1491	1365	1776	1711	1440	1412	2278	107	49	56	52	79	99	42	45
ENSMUSG00000086049	9	22	12	15	6	7	7	12	14	8	10	5	5	21	10	3
ENSMUSG00000082658	0	1	3	6	1	0	0	2	2	0	0	0	0	0	0	0
ENSMUSG00002075898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083465	8	12	5	14	14	3	3	14	4	4	5	0	2	0	0	0
ENSMUSG00000081270	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
